id,name,category,province,district,description,best_time_to_visit,entry_fee,duration,activities/0,activities/1,activities/2,nearby_attractions/0,nearby_attractions/1,nearby_attractions/2,coordinates/lat,coordinates/lon,activities/3,nearby_attractions/3
dest_079,Devon Falls,Nature & Scenic,Central Province,Nuwara Eliya,97-meter waterfall visible from main road between Hatton and Nuwara Eliya. Named after English coffee planter. Surrounded by tea estates.,"Year-round, best during rainy season",Free (roadside viewing),30 minutes,waterfall viewing,photography,tea estate visits,St. Clair's Falls,Nuwara Eliya,Hatton,6.9333,80.6167,,
dest_080,St. Clair's Falls,Nature & Waterfalls,Central Province,Nuwara Eliya,Known as 'Little Niagara of Sri Lanka'. Twin cascades totaling 80 meters. Visible from main road with viewing areas. Set among tea plantations.,"Year-round, best during monsoon",Free (roadside viewing),30-45 minutes,waterfall viewing,photography,tea tasting,Devon Falls,Castlereagh Reservoir,Talawakelle,6.9167,80.6,,
dest_081,Dhowa Rock Temple,Religious & Archaeological,Uva Province,Badulla,Ancient rock temple with unfinished Buddha sculpture carved into rock face. Cave temple with 18th century murals. Believed to date from 1st century BC.,Year-round,Free (donations accepted),1 hour,temple visits,archaeological exploration,photography,Ella,Bandarawela,Ravana Falls,6.8333,80.9833,,
dest_082,Embekke Devalaya,Cultural & Architecture,Central Province,Kandy,14th century temple famous for intricate wood carvings. Hundreds of carved wooden pillars with unique designs. Important example of Kandyan architecture.,Year-round,LKR 500 for foreigners,1-2 hours,temple visits,wood carving appreciation,photography,Lankatilaka Temple,Gadaladeniya Temple,Kandy,7.2,80.5167,,
dest_083,Lankatilaka Temple,Religious & Historical,Central Province,Kandy,Ancient temple built on rock outcrop with Sinhalese and South Indian architectural features. Dating from 14th century. Stunning valley views.,Year-round,LKR 300 for foreigners,1 hour,temple visits,historical exploration,photography,Embekke Devalaya,Gadaladeniya Temple,Kandy,7.1989,80.5353,scenic views,
dest_084,Gadaladeniya Temple,Religious & Historical,Central Province,Kandy,14th century stone temple with South Indian architectural influence. Built on rock with panoramic views. Important ancient Buddhist temple.,Year-round,LKR 300 for foreigners,1 hour,temple visits,historical study,architecture appreciation,Lankatilaka Temple,Embekke Devalaya,Kandy,7.2047,80.5369,,
dest_085,Seenigama Devalaya,Religious & Coastal,Southern Province,Galle,Hindu temple on small island connected by bridge to coast. Colorful architecture visible from Colombo-Galle road. Sacred to both Buddhists and Hindus.,Year-round,Free (donations accepted),30 minutes - 1 hour,temple visits,cultural exploration,photography,Hikkaduwa,Kosgoda,Bentota,6.1333,80.0667,,
dest_086,Kosgoda Turtle Hatchery,Conservation & Wildlife,Southern Province,Galle,Sea turtle conservation project protecting eggs and hatchlings. Five turtle species. Educational tours and release programs. Active conservation efforts.,Year-round,LKR 1000-1500,1-2 hours,turtle watching,conservation learning,hatchling release,Bentota,Balapitiya,Madu River,6.3333,80.0167,education,
dest_087,Barberyn Island (Beruwala),Historical & Coastal,Western Province,Kalutara,Small island with historic lighthouse built in 1889. Island monastery and retreat center. Accessible by boat. Peaceful meditation destination.,November to April,Boat charges apply,Half day,island exploration,lighthouse visits,meditation,Beruwala Beach,Aluthgama,Brief Garden,6.4667,79.9833,swimming,
dest_088,Brief Garden,Gardens & Art,Western Province,Kalutara,Landscaped garden and former home of artist Bevis Bawa. Sculpture garden with art collection. Tropical paradise with unique design aesthetics.,Year-round,LKR 1500 for foreigners,1-2 hours,garden walking,art appreciation,photography,Bentota,Aluthgama,Lunuganga Estate,6.4167,80.0167,landscape design study,
dest_089,Lunuganga Estate,Gardens & Architecture,Western Province,Kalutara,Garden estate of architect Geoffrey Bawa. Beautiful landscape design with sculptures and water features. Important example of tropical modernism.,Year-round,LKR 2000 for foreigners (by appointment),2-3 hours,garden tours,architecture appreciation,photography,Bentota,Brief Garden,Beruwala,6.4167,80,art viewing,
dest_090,Dediy agala (Virgin White Rock),Nature & Scenic,Sabaragamuwa Province,Kegalle,White limestone cliff formation near Aranayake. Popular viewpoint with panoramic views. Easier alternative to other rock climbs. Sunset views.,"Year-round, clear days best",Free,2-3 hours including climb,hiking,photography,scenic viewing,Aranayake,Kegalle,Ambuluwawa,7.1833,80.5333,,
dest_091,Pidurutalagala,Hill Country & Nature,Central Province,Nuwara Eliya,"Highest mountain in Sri Lanka at 2,524 meters (8,281 feet). Communication tower at summit. Restricted area requiring permission. Surrounded by tea estates.",January to March,Permission required,Half day,mountain viewing,photography,tea estate visits,Nuwara Eliya,Hakgala Botanical Gardens,Pedro Tea Estate,6.9833,80.7667,,
dest_092,Hakgala Botanical Gardens,Nature & Gardens,Central Province,Nuwara Eliya,"Second largest botanical garden in Sri Lanka. Alpine plants, roses, orchids. Associated with Ramayana legend. Cool climate garden at 1,745 meters elevation.","Year-round, best April-August",LKR 2000 for foreigners,2-3 hours,garden walking,plant observation,photography,Nuwara Eliya,Seetha Amman Temple,Hakgala Strict Nature Reserve,6.9167,80.8,picnicking,
dest_093,Seetha Amman Temple,Religious & Mythological,Central Province,Nuwara Eliya,Hindu temple dedicated to Goddess Sita from Ramayana epic. Believed site where Sita was held captive. Sacred footprints on rock. Pilgrimage site.,Year-round,Free (donations accepted),1 hour,temple visits,religious rituals,mythology learning,Hakgala Gardens,Nuwara Eliya,Ravana Falls,6.9333,80.8,photography,
dest_094,Kelaniya Raja Maha Vihara,Religious & Cultural,Western Province,Gampaha,Ancient Buddhist temple near Colombo visited by Buddha. Beautiful murals and architecture. Important pilgrimage site with annual Duruthu Perahera festival.,"Year-round, especially January for Perahera",Free (donations accepted),1-2 hours,temple visits,religious ceremonies,mural viewing,Colombo,Beddagana Wetland,Diyatha Uyana,6.9553,79.9219,cultural exploration,
dest_095,Gangaramaya Temple,Religious & Cultural,Western Province,Colombo,"Famous Buddhist temple in Colombo with museum, library, and residential halls. Mix of modern and traditional architecture. Hosts annual Navam Perahera.",Year-round,LKR 300 for foreigners,1-2 hours,temple visits,museum exploration,cultural learning,Beira Lake,Seema Malaka,Colombo city,6.9167,79.8556,meditation,
dest_096,Viharamahadevi Park,Urban Parks & Recreation,Western Province,Colombo,"Largest park in Colombo with children's play areas, walking paths, and giant Buddha statue. Historical colonial park formerly named Victoria Park.","Year-round, early morning or evening",Free,1-2 hours,walking,jogging,picnicking,National Museum,Town Hall,Independence Square,6.9147,79.8611,children's activities,
dest_097,National Museum Colombo,Museums & Culture,Western Province,Colombo,"Largest museum in Sri Lanka with extensive collection of artifacts, royal regalia, and historical exhibits. Colonial-era building housing national treasures.",Year-round,LKR 1000 for foreigners,2-3 hours,museum tours,historical learning,artifact viewing,Viharamahadevi Park,Town Hall,Gangaramaya Temple,6.9108,79.8608,cultural education,
dest_098,Galle Face Green,Urban Parks & Coastal,Western Province,Colombo,"Historic urban park along Colombo coast. Popular evening hangout for locals. Street food vendors, kite flying, and ocean views. Colonial-era promenade.","Year-round, evenings best",Free,1-2 hours,walking,kite flying,street food tasting,Galle Face Hotel,Old Parliament,Beira Lake,6.9271,79.8458,sunset viewing,
dest_099,Independence Square,Historical & Cultural,Western Province,Colombo,National monument commemorating Sri Lanka's independence from British rule. Independence Memorial Hall with Kandyan architecture. Popular jogging area.,"Year-round, early morning best",Free,1 hour,historical viewing,photography,walking,National Museum,Viharamahadevi Park,Race Course,6.9033,79.8689,jogging,
dest_100,Pettah Market,Markets & Shopping,Western Province,Colombo,"Bustling historic market area with narrow streets and diverse goods. Textiles, spices, electronics, and local products. Authentic local shopping experience.","Year-round, weekday mornings",Free,2-3 hours,shopping,market exploration,bargaining,Old Town Hall,Red Mosque,Dutch Period Museum,6.9395,79.8553,cultural immersion,
dest_101,Colombo Fort,Historical & Urban,Western Province,Colombo,Historic colonial district with financial and commercial buildings. Mix of old Dutch and British colonial architecture. Central business district.,Year-round,Free (district),Half day,walking tours,colonial architecture viewing,photography,Galle Face Green,Pettah,Old Parliament,6.9344,79.8428,dining,
dest_102,Beira Lake,Urban Nature & Recreation,Western Province,Colombo,"Large lake in heart of Colombo city. Seema Malaka temple on water, boat rides, and walking paths. Popular for evening strolls and recreation.","Year-round, evenings preferred",Free (boat rides extra),1-2 hours,boat rides,walking,bird watching,Gangaramaya Temple,Seema Malaka,Colombo city,6.9167,79.8556,temple visits,
dest_103,Lotus Tower,Modern Landmarks,Western Province,Colombo,Tallest self-supported structure in South Asia at 350 meters. Observation deck with panoramic Colombo views. Modern architectural landmark shaped like lotus.,"Year-round, clear days best",LKR 2000-3000 for viewing deck,1-2 hours,observation deck visits,city views,photography,Beira Lake,D.R. Wijewardena Memorial,Colombo city,6.9271,79.8553,dining,
dest_104,Muthurajawela Marsh,Nature & Wetlands,Western Province,Gampaha,"Coastal wetland sanctuary near Negombo. Rich biodiversity with mangroves, waterbirds, and wildlife. Boat safari tours through marshland channels.","Year-round, early morning best",Boat tour charges apply,2-3 hours,boat safaris,bird watching,wildlife spotting,Negombo,Hamilton Canal,Negombo Lagoon,7.0833,79.8333,photography,
dest_105,Aukana Buddha Statue,Religious & Archaeological,North Central Province,Anuradhapura,Giant standing Buddha statue carved from granite rock. 12 meters tall dating from 5th century. One of finest ancient statues in Sri Lanka. Serene facial expression.,"Year-round, early morning for best light",LKR 500 for foreigners,1-2 hours,statue viewing,photography,meditation,Kalawewa Reservoir,Anuradhapura,Mihintale,8.1167,80.5667,historical appreciation,
dest_106,Avukana Buddha Statue,Religious & Archaeological,North Central Province,Anuradhapura,Ancient standing Buddha statue similar to Aukana. Carved from rock face in 5th century. Alternative name 'Aukana'. Impressive craftsmanship.,Year-round,LKR 300 for foreigners,1 hour,statue viewing,photography,religious observation,Aukana,Kalawewa,Anuradhapura,8.1,80.55,,
dest_107,Isurumuniya Temple,Religious & Archaeological,North Central Province,Anuradhapura,Rock temple in Anuradhapura with famous Isurumuniya Lovers sculpture. Ancient pool and cave temple. Important archaeological and artistic site.,Year-round,Included with Anuradhapura ticket,1 hour,temple visits,sculpture viewing,archaeology,Anuradhapura Sacred City,Tissa Wewa,Ruwanwelisaya,8.3436,80.3983,photography,
dest_108,Abhayagiri Dagoba,Religious & Historical,North Central Province,Anuradhapura,Ancient Buddhist monastery complex and massive stupa in Anuradhapura. Once 115 meters tall. Extensive ruins of monastery buildings and sculptures.,Year-round,Included with Anuradhapura ticket,2-3 hours,historical exploration,stupa viewing,ruins walking,Anuradhapura,Samadhi Buddha Statue,Jetavanaramaya,8.3581,80.3981,meditation,
dest_109,Ruwanwelisaya,Religious & Historical,North Central Province,Anuradhapura,Great white stupa in Anuradhapura built by King Dutugemunu. Major pilgrimage site. Elephant wall surrounding base. Important Buddhist monument.,Year-round,Included with Anuradhapura ticket,1-2 hours,religious observation,pilgrimage,architecture viewing,Anuradhapura,Sri Maha Bodhi,Abhayagiri,8.345,80.3967,meditation,
dest_110,Sri Maha Bodhi,Religious & Sacred,North Central Province,Anuradhapura,"Sacred fig tree grown from cutting of original Bodhi tree under which Buddha attained enlightenment. Over 2,000 years old. Most sacred Buddhist site in Sri Lanka.",Year-round,Included with Anuradhapura ticket,1 hour,religious observation,pilgrimage,meditation,Ruwanwelisaya,Brazen Palace,Thuparamaya,8.3439,80.3967,photography,
dest_111,Little Adam's Peak,Nature & Hiking,Uva Province,Badulla,Easy hiking trail near Ella with stunning 360-degree views. Named for resemblance to Adam's Peak. Popular sunrise and sunset spot. Takes 30-45 minutes to climb.,"Year-round, early morning or late afternoon",Free,1-2 hours,hiking,sunrise/sunset viewing,photography,Ella town,Nine Arch Bridge,Ella Rock,6.8733,81.0383,scenic views,
dest_112,Ella Rock,Nature & Trekking,Uva Province,Badulla,Challenging trek through tea plantations and forest to rocky summit. Panoramic views of Ella Gap and surrounding valleys. Takes 2-3 hours one way.,"January to April, clear mornings",Free (guide recommended),4-5 hours round trip,trekking,hiking,photography,Ella town,Little Adam's Peak,Ravana Falls,6.865,81.0267,scenic views,
dest_113,Lovers Leap Waterfall (Ella),Nature & Scenic,Uva Province,Badulla,Waterfall near Ella with tragic love story legend. Accessible via short walk. Good views from tea estate. Also known as Ella Falls.,"Year-round, best after rains",Free,1 hour,waterfall viewing,photography,short walks,Ella town,Rawana Falls,Little Adam's Peak,6.8733,81.0417,,
dest_114,Demodara Nine Arch Bridge (alternate view),Historical & Engineering,Uva Province,Badulla,Best viewing spots and different angles of iconic Nine Arch Bridge. Walking paths through tea plantations. Train schedule viewing opportunities.,"Year-round, train times 6:30am, 11:40am, 2:30pm",Free,1-2 hours,train photography,bridge viewing,tea plantation walks,Ella town,Demodara Loop,Halpe,6.8725,81.0592,,
dest_115,Demodara Railway Station Loop,Engineering & Historical,Uva Province,Badulla,Unique railway engineering where track loops under itself through tunnel. Only place in Sri Lanka with such design. Near Nine Arch Bridge.,Year-round,Free,30 minutes,railway viewing,photography,engineering appreciation,Nine Arch Bridge,Ella,Demodara Station,6.8767,81.06,,
dest_116,Bolgoda Lake,Water Sports & Nature,Western Province,Colombo,Coastal district capital with beaches and war memorials. Historically significant location. Coastal beauty and fishing communities.,November to March,Free (town),1 day,beach visits,memorial tours,fishing village exploration,Nanthi Kadal Lagoon,War memorials,Beaches,9.2667,80.8167,coastal walks,
dest_156,Point Pedro,Coastal & Landmarks,Northern Province,Jaffna,Northernmost point of Sri Lanka. Lighthouse and coastal scenery. Fishing village atmosphere.,November to March,Free,Half day,lighthouse visits,coastal walks,fishing village tours,Jaffna,Valvettithurai,Casuarina Beach,9.8167,80.2333,geography milestone,
dest_157,Nallur Kandaswamy Temple,Religious & Cultural,Northern Province,Jaffna,Most important Hindu temple in Jaffna. Dedicated to Lord Murugan. Grand annual festival with chariot processions.,"Year-round, festival July-August",Free (donations accepted),1-2 hours,temple visits,religious ceremonies,festival participation,Jaffna Fort,Jaffna Public Library,Yamuna Eri,9.6811,80.025,cultural immersion,
dest_158,Jaffna Fort,Historical & Military,Northern Province,Jaffna,Dutch colonial fort with Portuguese origins. Largest fort in Sri Lanka. Recently restored with museum and rampart walks.,Year-round,LKR 500 for foreigners,2 hours,fort exploration,historical learning,rampart walks,Jaffna town,Nallur Temple,Jaffna Library,9.6614,80.0081,museum visits,
dest_159,Jaffna Public Library,Cultural & Historical,Northern Province,Jaffna,Historic library rebuilt after 1981 burning. Symbol of Tamil culture and knowledge. Beautiful Indo-Saracenic architecture.,Year-round,Free,1 hour,library visits,architecture viewing,cultural learning,Nallur Temple,Jaffna Fort,Yamuna Eri,9.6667,80.0167,reading,
dest_160,Matale Town,Urban & Spice,Central Province,Matale,District capital famous for spice gardens. Hindu temples and colonial heritage. Gateway to Cultural Triangle.,Year-round,Free (town),Half day,spice garden tours,temple visits,market exploration,Aluvihare,Nalanda Gedige,Sembuwatta Lake,7.4675,80.6234,local cuisine,
dest_161,Sembuwatta Lake,Nature & Scenic,Central Province,Matale,"Natural mountain lake surrounded by tea estates and pine forests. Swimming, picnicking, and boat rides available.",Year-round,LKR 400,2-3 hours,swimming,boating,picnicking,Matale,Riverston,Knuckles Range,7.4333,80.75,photography,
dest_162,Riverston,Nature & Viewpoints,Central Province,Matale,Scenic plateau with Mini World's End cliff viewpoint. Cloud forests and biodiversity. Part of Knuckles buffer zone.,January to March,Small fee,Half day,viewpoint visits,hiking,photography,Knuckles Range,Matale,Illukkumbura,7.5167,80.7667,nature walks,
dest_163,Gampola,Historical & Urban,Central Province,Kandy,Ancient capital of Sri Lanka in 14th century. Historical temples and colonial buildings. Important railway junction.,Year-round,Free (town),Half day,temple visits,historical exploration,town walks,Ambuluwawa,Lankatilaka Temple,Kandy,7.1644,80.5772,colonial architecture,
dest_164,Mahiyanganaya,Religious & Rural,Uva Province,Badulla,Ancient town with temple believed visited by Buddha. Gateway to Maduru Oya Park. Vedda cultural center.,Year-round,Free (town),1 day,temple visits,Vedda culture learning,market exploration,Maduru Oya,Sorabora Lake,Victoria Dam,7.3333,81,river views,
dest_165,Sorabora Wewa,Historical & Engineering,Uva Province,Badulla,Ancient reservoir with unique sluice design. Engineering marvel from 2nd century. Legend of giant Bulatha involvement.,Year-round,Free,1-2 hours,reservoir viewing,engineering study,bird watching,Mahiyanganaya,Victoria Dam,Maduru Oya,7.3667,81.0167,photography,
dest_166,Victoria Dam & Reservoir,Engineering & Scenic,Central Province,Kandy,Largest hydroelectric dam in Sri Lanka. Scenic reservoir surrounded by mountains. Victoria Park and gardens nearby.,Year-round,Free,2-3 hours,dam viewing,reservoir walks,photography,Teldeniya,Mahiyanganaya,Randenigala Dam,7.2167,80.9833,park visits,
dest_167,Teldeniya,Rural & Scenic,Central Province,Kandy,Small town near Victoria Dam with river views. Base for exploring Mahaweli development. Agricultural area.,Year-round,Free (town),Half day,town walks,river viewing,village tours,Victoria Dam,Mahaweli River,Knuckles foothills,7.3,80.9,dam visits,
dest_168,Kotmale Reservoir,Engineering & Nature,Central Province,Nuwara Eliya,Hydroelectric reservoir in beautiful mountain setting. Part of Mahaweli development. Scenic mountain backdrop.,Year-round,Free,1-2 hours,reservoir viewing,photography,scenic drives,Ramboda,Nuwara Eliya,Tea estates,7.0333,80.6167,bird watching,
dest_169,Castlereagh Reservoir,Scenic & Nature,Central Province,Nuwara Eliya,Picturesque reservoir surrounded by tea estates. Cool climate and misty conditions. Popular picnic spot.,Year-round,Free,1-2 hours,scenic viewing,photography,picnicking,Hatton,St. Clair's Falls,Devon Falls,6.9167,80.5833,tea estate walks,
dest_170,Hatton,Hill Country Town,Central Province,Nuwara Eliya,Tea estate town and base for Adam's Peak climb. Tamil tea workers' culture. Cool mountain climate.,December to April,Free (town),1 day,tea estate tours,town exploration,Adam's Peak preparation,Adam's Peak,Castlereagh,Nuwara Eliya,6.8917,80.5956,cultural immersion,
dest_171,Maskeliya,Tea Country & Reservoirs,Central Province,Nuwara Eliya,Tea plantation area near Adam's Peak base. Multiple reservoirs including Canyon Falls viewpoint. Scenic mountain drives.,December to April,Free,1 day,tea estate visits,reservoir viewing,waterfall spotting,Adam's Peak,Hatton,Laxapana Falls,6.8333,80.5333,scenic drives,
dest_172,Laxapana Falls,Waterfalls & Power,Central Province,Nuwara Eliya,126-meter waterfall feeding hydroelectric power station. Seventh tallest in Sri Lanka. Misty mountain setting.,October to March,Free,1-2 hours,waterfall viewing,photography,nature walks,Maskeliya,Adam's Peak,Hatton,6.8667,80.5,power station viewing,
dest_173,Talawakelle,Tea Estate Town,Central Province,Nuwara Eliya,Tea plantation town between Hatton and Nuwara Eliya. Colonial bungalows and tea factories. Cool climate.,Year-round,Free (town),Half day,tea factory tours,estate walks,colonial architecture,St. Clair's Falls,Devon Falls,Great Western,6.9361,80.6564,tea tasting,
dest_174,Kotagala,Tea & Nature,Central Province,Nuwara Eliya,Small tea estate town with beautiful scenery. Aberdeen Falls nearby. Less touristy hill country location.,Year-round,Free (town),Half day,tea estate tours,waterfall visits,nature walks,Aberdeen Falls,Norton Plains,Nuwara Eliya,6.9722,80.6278,bird watching,
dest_175,Aberdeen Falls,Waterfalls & Trekking,Central Province,Nuwara Eliya,98-meter waterfall requiring moderate trek through tea estates. Less visited than other major falls. Natural pool at base.,October to March,Small fee,3-4 hours including trek,waterfall trekking,swimming,photography,Kotagala,Ginigathena,Tea estates,6.9667,80.65,nature walks,
dest_176,Nanu Oya,Railway & Transit,Central Province,Nuwara Eliya,Railway station serving Nuwara Eliya. Scenic train journey endpoint from Kandy. Cool climate junction town.,Year-round,Free (station),Transit point,train journeys,railway photography,station viewing,Nuwara Eliya,Horton Plains,Gregory Lake,6.95,80.7667,tea estate walks,
dest_177,Ambewela,Dairy Farms & Scenic,Central Province,Nuwara Eliya,Highland plateau with dairy farms and grasslands. New Zealand-like landscape. Ambewela Farm produces milk for island.,Year-round,Free (farm tours extra),Half day,farm tours,scenic viewing,photography,Horton Plains,Pattipola,Ohiya,6.85,80.7833,countryside walks,
dest_178,Pattipola,Railway & Scenic,Central Province,Nuwara Eliya,"Highest railway station in Sri Lanka at 1,898 meters. Scenic mountain plateau. Cold climate and misty conditions.",Year-round,Free,1 hour,railway viewing,scenic photography,altitude milestone,Horton Plains,Ambewela,Ohiya,6.8333,80.8,train journeys,
dest_179,Ohiya,Trekking Gateway,Uva Province,Badulla,Small mountain village and trail start for Horton Plains trek. Beautiful highland scenery. Remote and peaceful.,January to March,Free (village),Day use or overnight,trekking preparation,village exploration,scenic viewing,Horton Plains,Bambarakanda,Haputale,6.8,80.8167,train journeys,
dest_180,Kalupahana,Waterfalls & Remote,Uva Province,Badulla,Remote village near Bambarakanda Falls. Highland farming community. Base for waterfall treks.,March to May,Free (village),1 day,waterfall visits,village tours,rural experience,Bambarakanda,Belihuloya,Ohiya,6.8,80.9667,hiking,
dest_181,Koslanda,Hill Country Village,Uva Province,Badulla,Small village near Diyaluma Falls. Tea estates and rural life. Base for waterfall exploration.,Year-round,Free (village),Half day,village tours,waterfall access,tea estate walks,Diyaluma Falls,Wellawaya,Haputale,6.65,81.0333,rural life observation,
dest_182,Passara,Rural & Scenic,Uva Province,Badulla,Small town near Namunukula mountain range. Agricultural center with scenic surroundings. Gateway to hiking areas.,Year-round,Free (town),Half day,town exploration,market visits,mountain viewing,Namunukula,Lunugala,Badulla,6.9833,81.1667,hiking preparation,
dest_183,Namunukula Mountain Range,Mountain & Trekking,Uva Province,Badulla,Mountain range with trekking trails and panoramic views. Less visited than other peaks. Rich biodiversity.,January to March,Small fee,Full day trek,mountain trekking,camping,photography,Passara,Lunugala,Badulla,6.95,81.1333,nature observation,
dest_184,Hambantota Town,Urban & Development,Southern Province,Hambantota,District capital with new port and airport. Developing city with modern infrastructure. Gateway to southern wildlife parks.,Year-round,Free (city),1 day,city exploration,port viewing,market visits,Bundala,Yala,Tissamaharama,6.1241,81.1185,development observation,
dest_185,Tissamaharama,Historical & Wildlife Gateway,Southern Province,Hambantota,Ancient capital and gateway to Yala. Tissa Wewa reservoir and Buddhist dagobas. Safari base town.,Year-round,Free (town),1-2 days,safari preparation,temple visits,reservoir walks,Yala,Kirinda,Kataragama,6.2833,81.2833,town exploration,
dest_186,Kataragama,Religious & Sacred,Uva Province,Monaragala,"Sacred multi-religious pilgrimage town. Hindu, Buddhist, and indigenous worship. Major annual Esala festival.","Year-round, July-August for festival",Free (town),1 day,temple visits,religious ceremonies,river bathing,Yala,Tissamaharama,Sella Kataragama,6.4167,81.3333,festival participation,
dest_187,Kirinda,Coastal & Religious,Southern Province,Hambantota,Coastal village with rock temple overlooking ocean. Viharaya Temple and Queen Viharamahadevi legend. Beach and surf spot.,Year-round,Free,Half day,temple visits,beach walks,ocean views,Yala,Tissamaharama,Panama,6.2833,81.4333,surfing,
dest_188,Ambalantota,Rural & Coastal,Southern Province,Hambantota,Small town between Tangalle and Hambantota. Agricultural center and curd production. Rural Sri Lankan life.,Year-round,Free (town),Half day,town visits,curd tasting,market exploration,Weerawila,Tangalle,Hambantota,6.2333,81.0333,rural observation,
dest_189,Weerawila,Nature & Bird Sanctuary,Southern Province,Hambantota,Town with large bird sanctuary on reservoir. Migratory and resident waterbirds. Fishing community.,November to March,Small fee for bird sanctuary,Half day,bird watching,boat tours,fishing observation,Tissamaharama,Bundala,Hambantota,6.2833,81.2333,nature photography,
dest_190,Beliatta,Rural & Historical,Southern Province,Hambantota,Small agricultural town near Walawe River. Birthplace of former president. Rural southern character.,Year-round,Free (town),Few hours,town visits,river viewing,rural experience,Angunakolapelessa,Hambantota,Udawalawe,6.0333,80.7333,local cuisine,
dest_191,Angunakolapelessa,Transit & Rural,Southern Province,Hambantota,Junction town connecting south to hill country. Agricultural area with paddy fields. Rest stop on travels.,Year-round,Free (town),Transit stop,rest stop,local dining,market visits,Udawalawe,Embilipitiya,Southern highways,6.1,80.9167,transit junction,
dest_192,Embilipitiya,Rural & Gateway,Sabaragamuwa Province,Ratnapura,Town gateway to Udawalawe Park. Agricultural center. Transit point between south and hill country.,Year-round,Free (town),Half day,town exploration,market visits,safari preparation,Udawalawe,Angunakolapelessa,Ratnapura,6.3417,80.8508,local dining,
dest_193,Balangoda,Historical & Town,Sabaragamuwa Province,Ratnapura,Hill country town with prehistoric significance. Balangoda Man discovery site. Tea and rubber estates.,Year-round,Free (town),Half day,town visits,archaeological interest,estate tours,Samanalawewa,Adam's Peak route,Tea estates,6.65,80.7,local culture,
dest_194,Samanalawewa Reservoir,Scenic & Engineering,Sabaragamuwa Province,Ratnapura,Beautiful mountain reservoir for hydroelectricity. Scenic location on Adam's Peak approach. Fishing and boating.,Year-round,Free,1-2 hours,scenic viewing,photography,picnicking,Balangoda,Adam's Peak,Belihuloya,6.7667,80.7167,reservoir walks,
dest_195,Pelmadulla,Rural & Junction,Sabaragamuwa Province,Ratnapura,Junction town on Colombo-Ratnapura road. Agricultural market center. Transit point for travelers.,Year-round,Free (town),Transit point,rest stop,market visits,local food,Ratnapura,Adam's Peak routes,Sinharaja,6.7167,80.5333,junction transit,
dest_196,Bolgoda Lake,Lakes & Water Sports,Western Province,Colombo,"Largest lake in Western Province with water sports facilities. Popular for jet skiing, kayaking, and boat rides. Mangrove ecosystems and birdlife.",Year-round,Water sports charges apply,Half day,water skiing,kayaking,boat rides,Moratuwa,Mount Lavinia,Panadura,6.7833,79.9,bird watching,
dest_117,Mount Lavinia Beach,Beaches & Urban,Western Province,Colombo,"Popular beach in Colombo suburbs with colonial heritage. Mount Lavinia Hotel overlooks beach. Swimming, dining, and sunset views.",November to April,Free,Half day,swimming,beach walks,dining,Mount Lavinia Hotel,Dehiwala Zoo,Colombo,6.8381,79.8631,sunset viewing,
dest_118,Dehiwala Zoo,Wildlife & Family,Western Province,Colombo,"National Zoological Gardens with diverse animal collection. Elephant shows, aquarium, and butterfly garden. Popular family destination.","Year-round, weekdays less crowded",LKR 3000 for foreigners,3-4 hours,animal viewing,educational tours,elephant shows,Mount Lavinia,Colombo,Bolgoda Lake,6.8517,79.8758,aquarium visits,
dest_119,Diyaluma Falls,Waterfalls & Nature,Uva Province,Badulla,Second highest waterfall in Sri Lanka at 220 meters. Natural infinity pools at top with stunning views. Popular swimming spot.,March to September,Free,3-4 hours including trek,waterfall viewing,swimming,hiking,Koslanda,Wellawaya,Buduruwagala,6.6333,81.0333,photography,
dest_120,Hanthana Mountain Range,Hill Country & Trekking,Central Province,Kandy,Seven peaks near Kandy offering various hiking trails. Panoramic views of Kandy city and surrounding valleys. Rich biodiversity.,"January to March, July to September",Free,4-6 hours per trail,hiking,trekking,bird watching,Kandy,Udawattakele,Peradeniya Gardens,7.25,80.6333,photography,
dest_121,Udawattakele Forest Reserve,Nature & Wildlife,Central Province,Kandy,"Historic forest reserve on hill ridge overlooking Kandy. Royal forest with walking trails, diverse wildlife, and ancient trees.","Year-round, early morning best",LKR 500 for foreigners,2-3 hours,forest walking,bird watching,wildlife spotting,Kandy city,Temple of Tooth,Kandy Lake,7.3,80.64,meditation,
dest_122,Kurunegala,Urban & Historical,North Western Province,Kurunegala,District capital with giant rock formations. Ethagala (Elephant Rock) dominates skyline. Buddhist temples and colonial buildings.,Year-round,Free (city),1-2 days,rock viewing,temple visits,city exploration,Ethagala,Yapahuwa,Dambadeniya,7.4833,80.3667,rock climbing,
dest_123,Ethagala (Elephant Rock),Nature & Landmarks,North Western Province,Kurunegala,Massive rock formation resembling elephant. Dominates Kurunegala skyline. Short hike to viewpoint offers city panorama.,"Year-round, sunrise/sunset best",Free,1-2 hours,hiking,photography,city views,Kurunegala city,Ibbagala,Yakdessagala,7.4875,80.3642,sunrise viewing,
dest_124,Dambadeniya Ancient Kingdom,Historical & Archaeological,North Western Province,Kurunegala,"Medieval capital of Sri Lanka in 13th century. Ruins of royal palace, tooth relic temple, and ancient reservoirs.",Year-round,LKR 500 for foreigners,2-3 hours,historical exploration,ruins viewing,archaeology,Yapahuwa,Kurunegala,Panduwasnuwara,7.65,80.15,photography,
